quechua,spanish
pedrowan juanwanmi llaqtata rinku,pedrojuan se fueronla ciudad
wawaqa wiñashanmi,el niño va creciendo
takiqkuna llaqtapi paqarin takinqaku,el conjunto musical tocará mañana en el pueblo
orqopi uywankunata michin,pastea sus animales por el cerro
yanapasqayki,te ayudaré
yuraq palomaqa chaypin kashan,allí está la paloma blanca
payqa allin runan,él es un buen hombre
papakunata wayk'usunchis,vamoscocinar papas
"arequipapin tiyani ,  kaymanta kani","vivo en arequipa ,  soy de aquí"
"kay llaqtapi runakunaqa ,  wayra killapin hukllachakunku",en esta comunidad la gente se casa en el mes de agosto
chay qochaq sutinqa titikakan,ese lago se llama lago titicaca
allin p´uyñukunataqa machaqmarka llaqtapin ruwanku,unas buenas tinajas elaboran en el pueblo de machacmarca
hallp´a mankapi mikhuna wayk´usqaqa mishk'illaña,las comidas cocinadas en ollas de barro resultan muy sabrosas
kusisqan kawsana,vivamos felices
killachay p'unchawpin pisaq llaqtapi qhatuykuna apakun,en el pueblo de pisaq hay una gran feria dominical
munayta riman,habla lindo
arequipamantan kani,soy de arequipa
qan lima llaqtapi kashanki,tú estás en lima
tayta intin sumaqta akchiyninwan k'anchaykuwanchis,el padre sol nos ilumina con su luz
sumaq intiraymi p'unchay,feliz fiesta del sol
raymipi ashkha warmim kan,en la fiesta hay muchas mujeres
qolla poqoy killapin kiwnaq q'omer rap'inkuna pallakun,las hojas tiernas de la quinua se recogen en enero
noqa huk karruta rikushani,yo estoy viendo un carro
qan chocolateta munanki,tú quieres chocolate
manan sasawanchu phishqa ñeqenmanta soqta ñeqenman wasapasaq,pasaré sin mayores dificultades del quinto al sexto grado
ñawpaqta rikch'arin,despertó antes
kayqa huk watuchin,esta es una adivinanza
kunkantan llamipayakun,se le acaricia el cuello
chaninta imatapas ruwan,él que obra correctamente
simi hunt'achiq,él que completa la palabra
noqan millmata phushkani,yo hilo la lana
runtuq yuraqllanta yuraq phosoqu kanankama qaywina,bate la clara de este huevo hasta que tome el punto de nieve
estofadopaqqa rakhu rakhullatan papata sanawriata muyupi kuchuna,la zanahoria como las papas se rebanan en rodajas para cocinar el estofado
sumaqllata yarqha patanta mana pukllaspalla hamunqa mana urmaykunapaq,"vendrán con cuidadosin jugar por la orilla de la acequia ,  no vayaser que se caigan"
rimasqaytam ch´uyanchasaq,lo que he dicho voyaclarar
huk willakuyta qhelqashani,estoy escribiendo un cuento
kay willakuyqa hukpa nisqanmi,es información de segunda mano
noqan wasanchasaq,yo voynegar
willakuyta ñawinchan,lee el cuento
qhelqaqa yuyaykunata qhelqanapaqmi allin,la escritura sirve para escribir ideas
huñunasqa rimaypa sonqonchayninqa ima ruwayninmi,el predicado es un elemento de la oración
wawachaykiqa allintañan rimashan,tú hijita ya está hablando bien
imapas aynillan,todo es recíproco
kusikunapaq ruwaykunatan kunan ruwasunchis,ahora haremos un drama
payqa sumaqtan takin,ella canta hermoso
willakuykunaqa tukuymanta rimariqmi,los cuentos son textos narrativos
imakuna pasasusqaykimanta qhelqatan ñawinchanki,vasleer el texto anecdótico
¿ wayrari kallpayuqchu ?,¿ el viento tiene fuerza ?
imapas allillanmi kanqa,todo vaestar bien
wasiypin aylluywan kushka karani,estaba en mi casa con mi familia
añanchaykiqa allinmi karan,tu agradecimiento estuvo bien
ishkaychasqa saraqa allin kawsaytan apamuwanchis,el maíz emparejado nos trae buena vida
runakunaqa chinlinyaq alakhayuqkunan tusunku,las personas danzan con cascabeles
ch'illikuchaqa q'omir raphikunata mikhuspa kawsan,el grillo vive alimentándose de hojas verdes
yana ch'umpi kawallutaqa alasan ninku,al caballo marrón oscuro le dicen alazán
rakhu p'achaqa chirimanta kurkunchista hark'an,la ropa gruesa protege nuestro cuerpo del frío
p'unchawniykipiqa kusisqallaña kanaykitan munani,deseo que pases tu cumpleaños contentofeliz
noqaqa yachachiqniypa llapa rimasqanpi iñini,yo creo en todo lo que dice mi profesor
iphu parachaqa chakrakunata munayta wiñachin,la garúa beneficia muchísimolas chacras
chiri uchu mikhuypiqa kaw kaw churasqa kanpunin,el chiri uchu siempre lleva menudencia de res
kullkuqa sach'a patakunamanta munayta takimun,la paloma torcaz canta melodiosamente desde los árboles
kuraq turayqa qosqopi llank'an,mi hermano mayor trabaja en el cusco
makiypi k'irichayqa ña thanishanña,la herida de mi mano ya está cicatrizando
yachay sapa wawakunaqa manan hayk'aqpas yarqaytaqa muchunqakuchu,los niños sabios nunca jamás sufrirán hambre
k'usilluchaqa wawakunaq tukuy ima rurasqanta yachapayan,el monito imita todo lo que hacen los niños
chay erqeqa asiqllaña,ese niño es gracioso
pusaq killayuq wawaqa lat'akachanñan,los bebés de ocho meses ya gatean
puka layuq saphinqa allinmi ukhu onqoymanta hampiwananchispaq,la raíz del trébol rojo es buena para curar la tos
wawakunaqa waylichaq mishk'itan huñumunku,los niños recogen miel de abeja
wawakunaqa ishkay ishkaymanta tusunku,los niños se emparejan para bailar
riksisqaykunaqa llapanmi hawa llaqtakunapi llamk'aq yachachiqkuna kanku,todos mis amigos son profesores que trabajan en el medio rural
noqaqa tayta mamayta anchata munakuni,yo amo muchísimomis padres
chinchiru llaqta warmikunaqa munay muntirakunawan churakun,las mujeres del pueblo de chinchero usan bonitas monteras
chay munayqa anchaqa allinmi,este es un buen sueño
chay paqo uma mamakunaqa allin hampiq warmin,esa abuelita de cabellos canos es una muy buena curandera
alqo uñaqa qanchis p'unchawmantam ñawinta kichan,los cachorritos de perro abren los ojoslos siete días
qhachunniyqa sumaq alakhayuqkunatan llikllata awan,mi nuera teje mantas con bonitos diseños
kunturpas q'intichapas rapranta chapchispapuni hanayninta phawanku,el cóndorel picaflor vuelan siempre agitando sus alas
warmi wawayqa ancha sumaq sonqo sipaschan,mi hija es de un corazón noble
allin ruwasqa wasiqa manan thunikunkuchu,las casas con buena cimentación no se derrumban
paqarinmi mamayqa ponchu awayta tukunqa,mi mamá mañana terminará de tejer el poncho
sipaskunaqa sumaq t'ipanakunawanmi alayrilla llaqtata rinku,las jovencitas van al pueblo exhibiendo sus mejores prendedores
hanaq pachaqa wichaypi kashan,el cielo está arriba
wasi masiykuq ususichanmi kan,nuestro vecino tiene una hijita
mikhuspam asikunki,te ríes comiendo
noqa chunka watayuqña kani,yo ya tengo diez años
marioqa sarata chakranchispi tarpun,mario siembra maiz en nuestra chacra
qayna p'unchawkunan michichaykunaqa wacharun hinaspan ñawinkuta kicharirunkuña,"nuestra gata parió hace algunos días , las crías abrieron sus ojos ayer"
"puno hallp´api huk hatun qocha kan ,",en el territorio puneño hay un gran lago
may ashkha llamayuqmi chay runaqa kasqa,esa persona posee muchas llamas
p'unchawniypiqa uña khuchi kankata tamalniyuqta sumaqllataña wayk'usqaq,el día de mi cumpleaños prepararé un rico lechón con tamales
"kay k'ushkuta sipiruychis ,  kankasunchismi","desollen esta liebre ,  la asaremos"
chiri hallp´akunapiqa ch'apu allqukuna uywaymi allin,en las tierras frígidas es recomendable criar perros lanudos
kay wasiqa wiñay wiñaypaq kachun,que esta casa sea para toda la eternidad
wawakunaqa raymi p'unchawkunapi sumaq yarawikunata yarawinku,los niñoslas niñas recitan hermosas poesías en ocasiones de įestas
paqarinmi mamakunap p'unchawnin; chaypin ancha kusikuywan rimarisaq,mañana es el día de las madres; allí declamaré con mucha mímica
haqay wik'uñaqa atuqtaq anyanqa,dicen que aquella vicuña castiga al zorro
ima qoykuwasqanchistapas kusikuywan chashkina,cualquier obsequio se recibe con mucho
wakayqa chinachatan wachapuwasqa,mi vaca había parido una cría hembra
hakuchu chuwispi pukllaykamusunchi,"¡vamos ,  te invitojugar canicas !"
ch'askachay p'unchawmi yachayninchisman hina kiwna qaywita llanukusunchis,para el viernes santo se prepara batido de quinua por costumbre
hallp´a p'ukuqa manan mikhunallapaqchu aswanqa uchukuta churanapaqwanmi,el plato de barro sirve tanto para comer como para poner en él ají molido
huk p'unchaw chinkachisqay warak'ataqa tariruniñan,ya encontré la honda que perdí el otro día
uywa michiq llaqtakunaqa paqucha qarata mast'aykuspa samachisunki,en las comunidades ganaderas te alojan en tendido de cueros de alpaca
noqaqa wayrapakushanin,estoy relajándome
ima ?   ¿ kayllapiraqchu kashanki ?,¡qué !   ¿ continúas aquí ?
warmikunaqa kukankuta huk llikllachapin apanku,las mujeres llevan su coca atado en una mantita
onqosqa warmikunaqa manan yawarchakunkuñachu,las mujeres gestantes ya no menstrúan
taytayqa siwulla mallkichakunata llaqtamanta rantimusqa,mi padre compró almácigo de cebolla del pueblo
chay wallpata caldopaq phurucharusaq,pelaré esa gallina para el caldo
tusuqqa raymipipunim kanku,el danzante siempre está presente en las įestas
mama qochapiqa tukuy ima challwakunan tarikun,en el mar hay muchas variedades de peces
maqlla qharikunaqa warmimanta p'achasqa tusunku,los afeminados bailan usando vestidos de mujer
runa simipiqa librotaqa ninchismi mayt'ukuna huñunasqa nispa,en el quechua al libro le llaman “atado de escritos͟
chakra ruwaq runakunaqa maychaq t'ikarisqantan qhawanku,los agricultores observan la floración de la ramilla
sapa p'unchaw qarpapayasqay t'ikachaykunaqa sumaqmi kashan,mis flores regadas diariamente están lozanas
mana kachiyuq lecheqa miskhk'illañan,la leche sin sal es muy rico
noqanchisqa peru apu suyupin paqariranchis,nosotros nacimos en el país llamado perú
san pedro llaqtapiqa kurkukunata llaqllaspa munay tiyanakunata ruwanku,en el pueblo de san pedro fabrican hermosas sillas cepillando los troncos
alqoqa kirunta llaqwakuspan hampikun,el perro cura su herida lamiéndose
sipaskunaqa tukuy niraq t'ikakunawanmi lawichunkuta alakhanku,las jóvenes adornan sus sombreros con diversos colores de flores
sulk'a wawqichayqa watanpiña hinaspan ña purikachashanña,"mi hermanito menor tiene un año , ya está dando sus primeros pasos"
almakunaq p'unchawninpiqa saksanaykamapuni mikhurani,en el día de todos los santos comí hasta saciarme
qheshwa uraymanta tunastaqaputukunapi orqomunku,desde los valles cálidos sacan las tunas en cestas
chiwchikunataqa mikhuchispan uywanku,a los pollitos se les cría dándoles de comer
puriqmasinchis manuelqa allin sonqoyuqmi,nuestro compañero manuel es muy buena gente
noqaqa yachay wasipi tinyata t'oqyachini,en la escuela yo toco el tambor
chay p'achaykiqa ancha sumaqpuni,esa tu ropa es muy bonita
"mamayta watukusqanki ,  anchatapuni añaychayki","habías visitadomi mamá ,  te agradezco muchísimo"
wirta ukhupin wiñapupaq sarataqa p'ampamuni,en el jardín tapé maíz para la jora
kay lisas chupichaqa mishk'ipuni kasqa,esta sopa de olluco está muy rica
yunka runakunaqa charapa aychamanta mikhuykunata llanunku,la gente de la selva prepara platos de carne de la charapa
ch'aqipaqqa ch'uñuta pisillata ñut'una,para el chaque hay que machucar el chuño levemente
kay sasawi yurachata hampi chatupi t'impurqachimuy,haz hervir esta ramita de sasahui en el tacho de remedios
mula chillinaqa chaki utipaqmi chanin hampi kasqa,el tuétano de mula es un excelente remedio contra la artritis
kachi kachiq aychanta mikhuspaqa pay hina phawaqmi kanki,si comes la carne de la libélula podrás volar como ella
pichinchukunata warak'aspanku wasi qhawananta t'oqorusqaku,al hondear pajaritos habían quebrado el vidrio de la ventana
chay wawata chinlinyanninwan pukllachiy,hazle jugaresa criatura con su sonajita
sasawi hampi ukhu onqoypaqmi allin,el mate de sasahui es bueno para curar la gripe
waqaychasqa t'antaqa ch´akinmi,el pan guardado se endurece
paymi willlakuykunata rimarimun,él narra las noticias'
papa tarpuymanta patarata mashkasunchis,busquemos un libro sobre el sembrío de la papa
ñawpa willakuyta qhelqanapaq ima kaqninkunata allinta riqsina,"para escribir una leyenda ,  hay que considerar sus
 partes"
kay achaqalakunata allinta t'oqyachisun,pronunciemos bien estos alfabetos
atoqmanta huk willakuyta qhelqay,escribe un cuento sobre el zorro
yachachiwaqninchismi pataranchista chaninchanqa,nuestro profesor será el revisor del libro
risisqaypa siminqa rakhullaña,mi amiga tiene labios gruesos
llaqtanchiskunapi orqokunaqa kawsayniyuqmi,en los pueblos andinos todos los cerros son sagrados
riksisqayqa rimapayanan kashan,mi amigo necesita un consejo
kurkunchista maqllispaqa qhashqa rumichawanmi thupananchis,al bañarse hay que rasparse con piedrecitas ásperas
ninkun: warmakuna machulata uyarispankuqa anchatas asikusqaku,dicen que al escuchar al abuelo los niños se reían muchísimo
allintan p'achaykitaqa t'aqsanayki,debes lavar bien tu ropa
¿ hayk'aqmanta pachan yachay wasiman hamuranki ?,¿ cuándo empezastevenirla escuela ?
atoq huk chitata mikhuspanmi kaq kaqmanta kutipayamun,"luego de haberse comido la cría de la oveja ,  el zorro goloso volvió unaotra vez"
ayriway killapin kiwnataqa pallanchis,la quinua cosechamos en el mes de abril
ichhuta hastawanqa ichhunawanmi kuchunchis,las pajaslas habas las cortamos con la hoz
runaq aswan kusikuyninpiqa sumaq kaymi,la fuente más importante de la felicidad humana es la bondad
hatun pukllaypi kusikuypiqa llimp´itan munay kayta sapa p´unchay kawsaypi yapaykun,gran entretenimientodiversión pueden agregar colorbellezala vida cotidiana
"añay runaq sumaq kayninman ,  ancha yanapayta runakuna chaskinkuman","graciasla nobleza humana ,  las personas pueden experimentar mucho apoyo"
"manchakuyta llallispa phiña kayta rikuchinchis ,  allin kayninchis yapakun","cuando superamos el miedomostramos coraje ,  aumenta nuestra autoestima"
"sumaqmi sichus ,  sapa p´unchay kawsay ,  yanqallamanta kaqninchista hatarichin","es agradable cuando ,  en el contexto de la vida cotidiana ,  algo repentinamente provoca nuestra emoción"
"¡wataq imaymana wiñayninkunata munawaq ,  aswanpas cheqaqpuni kan ,  samana killata llapan munanku !","¡puedes amar las diferentes temporadas del año ,  pero honestamente ,  todos aman las vacaciones !"
munayqa kawsayman sumaq allin kaytan yapan,"la pasión agrega un encanto maravillosola vida , a veces vale la pena cederella"
wakin runakunaqa kikinninkuwan allin kayqa aswan sumaqpunin ninkun,algunas personas creen que sentirse bien consigo mismas es la mayor recompensa posible
"manapunin ishkayyanachu ,  kusikuyqa allinpunin","sin lugardudas ,  la felicidad es algo excepcional"
runaq ñawpaq munakuyninqa aswan hatunmi chay munakuykunaqa ancha unaymi yurarikun,el primer enamoramiento de una persona es muy intensoesos sentimientos se recuerdan durante mucho tiempo
"¡yanqamanta tumpasqa qhepamanqa ,  llapan ch´uyanchakuqtinqa sumaq kusikuymi !","después de ser falsamente acusado ,  la exoneración completa es maravillosa !"
"munakuyqa sapa kutin khatatachiwanchisman ,  aswanpas sumaq allinpunin","la emociónmenudo nos puede hacer temblar ,  pero es inmensamente agradable"
kawsaypa hunt´akusqanqa teqsimuyuta ñawpaqman purichiytan apawanchis,la satisfacción de la vida nos impulsamejorar el mundo
¡maqanakuymanta mana allin kawsaymanta ayqekuyqa ancha sumaqpunin !,¡liberarse de las pesadillasde la violencia es maravilloso !
runa allin sumaq kikinwan kananpaqqa ashkha allin ruwaykunan kan,hay muchos comportamientos que pueden hacer que una persona se sienta orgullosa de sí misma
sumaqpunin kan munasqayki runawan kayqa,es un gran placer pasar tiempo con personas que respetas
"allin kawsaypaq llank´ayqa ,  kawsayman sumaq kaytan qon","trabajar por una buena causa ,  le da noblezala vida"
teqsimuyuta sapa p´unchay qhaway chayraqchus qhawashawaqhina,mira el mundo cada día como si lo estuvieras viendo por primera vez
"anna makiyta hap´ishawan ,  chaymi kallpayuq kani","anna está sosteniendo mi mano ,  por eso siento fuerza​​coraje"
hukkaq watakunata kusisqa asikuspa tiyanki,vivirás en felicidadalegría durante las próximas décadas
runa sipiq,asesino
raphi,hoja
ayllu,familia
siñaskuna,señas de la naturaleza
respetuwan,respeto
hamaw t´a,sabio
wishlla,cucharón
theqtichina,sartén
ninri,oreja
unu,agua
qore,oro
kallpa,fuerza
khaska,áspero
paray,llover
wanay,escarmentar
t'eqway,pelar
teqtichiy,freír
tarpuy mit´a,primavera
chakmay,preparado de tierra para la siembra
laq'apakuy,tropezar
yana,negro
tuku,búho
urmay,caer
ñak´ariy,"sufrir necesidades ,  desperdiciarse"
yawar,sangre
qheshwa runa,quechuas
llasa,pesante
chakachikuy,"atorarse ,  ahogarse"
huchasapa,culpable
aqha,chicha
maway,primeras papas
qatikachay,cacería
taki,canción
rikuq,testigo
puka,rojo
kuchuna,cuchillo
harawi,poesía
q éwi,chueco
t´oqo,hoyo
huch´uy,pequeño
tutantin,toda la noche
uywanakuy,crianza mutua
mikhuchinaypaqmi mañakuwaran,me pidió que le diera de comer
qan killata rikushanki,tú estás viendo la luna
hatun p´uyñukunan kashanman,puede haber tinajas grandes
kay uywaqa mana ashka millmayuqmi,este animal tiene poca lana
paqarinmi mamayqa ponchu awayta tukunqa,mi mamá mañana terminará de tejer el poncho
llusk'a llusk'allaña mayu,es muy rebaloso el rio
sarata t'ipispaqa markapin waqaychana,luego de despancar el maóz se gurda en la ramada
k'aspimanta ñaqch'aqa ruwakuyta atikunmanmi,pueden fabricarse peines de madera
payqa allin runan,él es un buen hombre
kay saramanta apiqa pipullañan kashan,esta mazamorra de maíz está muy espesa
yunka runakunaqa charapa aychamanta mikhuykunata llanunku,la gente de la selva prepara platos de carne de la charapa
churakun huk punchuwan,se puso un poncho
kaqniyuq runakunaqa mana kaqniyuqkunatan saruchakuranku,los adinerados siempre humillaronlos pobres
"qolqe waqaychanapaqqa ,  rantisqanchiskunata allinta qhawana","para tener ahorros ,  debemos equilibrar nuestro presupuesto"
may hawapipas rumiqa kallanpuni,en cualquier lugar siempre hay piedras
chay tayta hinaqa manan hukqa kanchu,como aquel padre no hay otro
qhillqana raphita mamaywan rantichikusaq,me haré comprar cuadernos con mi mamá
waqayuspan ripun,se fué llorando
manan allin musqhoymi kayku noqaykuwan manan imatapas ruwayta atinkichu,somos tu peor pesadillano sabes qué hacer con nosotros
paywanmi qhatuna wasipi tuparani,me encontré con él en el mercado
chay k'anallapi uchu kashan,en esa tostadora está el ají
raqra mankamantaqa sut'u sut'upin leche tukurakapun,de la olla rajada gotagota se ha terminado la leche
kullkuqa sach'a patakunamanta munayta takimun,la paloma torcaz canta melodiosamente desde los árboles
chayamunmi,me consta que llegó
aman kutimunaykama puñunkichu,no vasdormir hasta que regrese
k'aytuqa nishu wata watallañan kashan,el hilo está lleno de nudos
iphu parachaqa chakrakunata munayta wiñachin,la garúa beneficia muchísimolas chacras
manan millay imapas kanchu aswanpas wasipi onqosqa runahina,no hay nada peor que un hombre enfermo en casa
"chay uñaqa waqrakunmi ,  sumaqllata apamunki","esa vaquillona suele cornear ,  vasarrear con cuidado"
warmakuna yanacha wasimanta sach´a sach´aman phawanku,los niños se apresuran desde la escuela hacia el bosque
"¡hakuchis ,  mink´arikusqayki chuwipi pukllayta !","¡vamos ,  te invitojugar canicas !"
qori t'ika hat'un t'antata rakirparin,flor de oro dividió un pan grande
"imatapas runa ruwaqtin ,  manan phiñachinqachus chayta suyanchu","cuando una persona hace algo ,  podría no esperar que lo hará sentir disgustado"
mana sasa ruwaykunaqa maynillanpin ruwakun,las cosas simples son siempre las más inusuales
may ashkha llamayuqmi chay runaqa kasqa,esa persona posee muchas llamas
runa allin sumaq kikinwan kananpaqqa ashkha allin ruwaykunan kan,hay muchos comportamientos que pueden hacer que una persona se sienta orgullosa de sí misma
"makinkurayku askha runakuna llallinakuranku ,  ichaqa pay qarquran kusikuyta ch´ulla kaypi mashkaspa","muchos hombres compitieron por su mano ,  pero ella los rechazó ,  buscando la felicidad en soledad"
qochapi raul waqashan,raúl está llorando en el lago
maypi karanki,¿ dónde has estado ?
mana allin uywasqallan hat'aqoqa kikillan sumaqllaña wiñarusqa,el bledo creció abundantemente sin cuidado alguno
saqesqay hinallan kashan,esto está tal como lo dejé
ninkun huk qella maqt'atas usa tukurapusqa,cuentan queun joven ocioso se lo comieron los piojos
noqa qoyllurta rikuni,veo una estrella
kukuchikuna runakunata manchachin,los fantasmas asustanla gente
payqa carcelpin kashan,él está en la cárcel
rakhu p'achaqa chirimanta kurkunchista hark'an,la ropa gruesa protege nuestro cuerpo del frío
qan chocolatita munanki,tú quieres chocolate
"qanrí ,   ¿ maymanta hamushanki ?",y tú  ¿ de dónde vienes ?
chay ruwayta mana chaskisqachu millaypunin chayqa consejo viceministro nisqakunamanta hamuq,despreció tal comportamientolo consideró indigno de un miembro del consejoun viceministro
"sichus llakisqa runata rikuni chayqa ,  kurpuypin nanayninta tarini","cuando veouna persona que sufre ,  siento su dolor en mi cuerpo"
t'antaq chaninta qawariy,observa el precio del pan
espinar llaqtamanta santo tomás llaqtamanqa bellilli llaqtallantapuni rinchis,de espinarsanto tomás siempre tendremos que ir por velille
nishu llakisqan kawsani,vivo muy afligido
chakra tarpunaykupaq raymichay,para la siembra hacemos fiesta
chay qhatata pukllananchispaq pampachasunchis,aplanemos esa ladera para jugar
sapallanmi chay runaqa waqtuta ukyarapusqa,esa persona sola se ha tomado toda la botella de cerveza
llapaykichis hamuychis,vengan todos
"¡wataq imaymana wiñayninkunata munawaq ,  aswanpas cheqaqpuni kan ,  samana killata llapan munanku !","¡puedes amar las diferentes temporadas del año ,  pero honestamente ,  todos aman las vacaciones !"
taytaypa makin llank'ananpaq,la mano de mi papá sirve para que trabaje
vacunakunaqa onqoymantan hark'awanchis,las vacunas nos protegen de las enĩermedades
pablopiwanmi hamusqa,había venido con pablo
kay pachapiqa tukuy imapas kuyunmi,"en este mundo ,  todo se mueve"
qosqomanta hamuni,vengo de cusco
kay sasachakuyta allinchay,resuelve el problema
mana qaywisqa lawa mankaqa tiyaruspa rupharunmanmi,la olla de mazamorra que no se remueve puede asentarsequemarse
noqapaqqa manan imapas qhepasqachu,para mí no quedó nada
"chhullimanta ,  ch´oqhumanta hampikunapaq allin",es bueno para curarse de la gripela tos
khallwakunaqa parananpaqmi phawaykachan,la aparición de las golondrinas anuncia la presencia de lluvias
waynapura p'itaypi llallinakunku,entre jovenes corriendo se ganan
k'anas runakunaqa ch'eqchi p'achayuq kanku,los pobladores de canas llevan ropa gris
thoqayniymi haya ima llakichá hap'iwanqa,tengo la saliva amarga͗ qué preocupaciones tendré
ñawinchaytan paqarin yachachisqayki,mañana te enseñoleer
llapanku tiyashanku,todos estan sentados
k'ankaq mana sarusqan wallpaq runtunqa manas chiwchinmanchu,el huevo de la gallina que no ha sido fecundada por el gallo no genera vida
nishu karu kasqa,era bastante lejos
rimasqaytam ch´uyanchasaq,lo que he dicho voyaclarar
imapas allillanmi kanqa,todo vaestar bien
hanaq pachaqa wichaypi kashan,el cielo está arriba
chaka tulluymi nanawan,me duele el ilíaco
inka awkikunaqa yachaysapataq kallpasapataq karanku,los auquis de la época de los incas fueron muy sabiosforzudos
inti raymi p'unchawqa ishkay chunka tawayuq inti raymi killatan raymichakun,dicen que la fiesta del sol se festejaba el día ϭ de junio
mana allin kawsaykuna kaqtinqa awkinchiskunata tapurikusunchis,frentelas fatalidades de la vida consultemosnuestros ancianos
waylluyqa allinmi,amar es bueno
noqaqa kiswar pampa ayllumanta kani,yo soy de la comunidad de kishuar pampa
ichhu pichanaqa tukurakapunmi,la escoba de paja se ha terminado
orqo patakunaqa phuyusqallapunin kashan,la cima de los cerros casi siempre está cubierta de neblina
mana allin theqtichina kan,hay una sartén malograda
qanpas hamunaykin,tú también debes de venir
"kawsayqa huk chocolati caja nisqahinan ,  manan hayk´aqpas imatachus tarinki chayta yachankichu","la vida es como una caja de chocolates ,  nunca sabes lo que obtendrás"
papa chakramanta lliw qorakunata orqosunchis,de la chacra de papas hay que deshierbar todas las malezas
pukllanaykiraykun hamunki,vienes porque quieres jugar
"ch´eqmiqa mayqin runaq kawsaynintapas tukurachinmanmi ,  mana huchayuq kaqtapas","un rumor puede acabar con la carrera de cualquiera ,  incluso si no es culpable"
ichaqa mamay huch'uylla,mi mamá es bajita no más
juicio tukunankaman carcelpi kamunqa,mientras dure el juicio ella estará en la cárcel
sichus runa mana ayllunwan unay kan chayqa manan allin runachu kan,el hombre que no pasa tiempo con su familia nunca será un verdadero hombre
alqolla llapan kisuta mikhurqakapusqa,el perro se había comido todo el queso
"allin ruwayqa mati unupi mishk´ihinan; pisi kaqtinpas ,  llapan mishk´imanmi tukuchin","la esperanza es como el azúcar en el té; incluso cuando hay muy poco ,  hará que todo sea más dulce"
t'ipanawan allinta mantunniykita t´ipay,asegura tu mantita con el prendedor
"sasan wak runakunaq llallisqanpi kusi tariyqa ,  ichaqa ancha kusikuyta llalliy apamunman","no es fácil encontrar satisfacción en las victorias de otras personas ,  pero puede brindar tanta alegría al ganar"
imapas mana allin yuyaymunasqaqa chinkaripullanmi,en cambio cualquier cosa sin fundamento se desvanece
mancharikuypunin imaynata runakuna wak runakunata saruspa kusisqa kanku,es impactante que las personas obtengan la satisfacción de la explotación de los demás
ashkha tullukunata mach'aypi rikurani,vi muchos huesos en una cueva
wiksa allin kayqa saphin llapan imapas allin kananpaq,el placer del estómago es la basela raíz de todo bien
"sasapunin ,  runakunaqa hatun phiñachikuykunatan panpachankuman","aunque no es fácil ,  las personas son capaces de perdonar incluso las transgresiones más graves"
qankuna yachachiq kankichis,ustedes son profesores
tintinqa wasimasinchispa sach'akunapin wiñan,la granadilla crece enredándoselos árboles vecinos
runakunaqa phiña kaspa manan waqankuchu ichaqa manchakuymantaqa,"la gente generalmente no llora cuando están molestos ,  sino cuando están asustados"
makiypi k'irichayqa ña k'illayashanña,la herida de mi mano ya está cicatrizando
alqokunataqa washkhawanmi seq'ona,al perro se le ahorca con una soguilla
machula t'ikakunamanta moqokama purin,el anciano camina desde las flores hasta la colina
sara tarpusqanchisqa ñan ch'ichiramunqa,ya germinó el maíz que sembramos
churinchiskuna pukllan,nuestro hijos juegan
"sinchita ch'akirin ,  awkikunatachari phiñachinku","hay mucha sequía ,  seguramente han ofendidolos espíritus de los cerros"
such'iq qaranqa wirallaña,la piel de los bagres es grasosísima
puka layuq saphinqa allinmi ukhu onqoymanta hampiwananchispaq,la raíz del trébol rojo es buena para curar la tos
huk mana pagaspalla yachay ñawpaqman puriytan yanapan sapa p´unchay llakikuytataq chinkachipun,una beca proporciona oportunidades para el desarrollo del talentoelimina las preocupaciones diarias
"k'uychichay p'unchawtaqa hamunki ,  qonqaruwaqtaq","el día sábado tienes que venir ,  no vayasolvidarte"
manan imapas sasaqa kanchu,no hay nada imposible
noqa chunka watayuqña kani,yo ya tengo diez años
mana waqaychakuspalla pukllaqtinchisqa urmayusunmanmi,"si jugamos sin cuidado ,  podemos caernos"
chay sipascha wasinman phawaylla rishan,esa señorita está corriendo hacia su casa
"sumaqmi sichus ,  sapa p´unchay kawsay ,  yanqallamanta kaqninchista hatarichin","es agradable cuando ,  en el contexto de la vida cotidiana ,  algo repentinamente provoca nuestra emoción"
sutiykita ayllu sutiykitawan qhillqay,escribe tu nombreapellido
manan waylluytaqa huchapi t´ikachinachu,no permitir que el amor florezca es un pecado
manan allin warmakunaqa manan rikraypi ninriypi t'ispipayawaytaqa saqenkuchu,los niños malos no dejan de pellizcarme en los brazosen las orejas
phatasqa mankapiqa manan unuqa takyanchu,en olla rajada ya no se mantiene el agua
huk camionmi warmita sarurapun,un camión ha atropelladouna señora
surump'iwan hapisqa ñawiqa millaytan k'arakun,los ojos afectados por el surumpi arden insoportablemente
noqaqqa ishkay ususiymi kan kinsa churiykunapiwan llapanpiqa phishqa,"tengo dos hijastres hijos ,  en total son cinco hermanos"
atoq supayqa huk p'asñachatas q´oturusqa,dicen que el zorro endemoniado había engañadouna muchachita
llank´ana sapankaq kawsaynin kasqanpi churayqa kusikuypaqpunin allin kan,un equilibrio entre el trabajola vida personal es la clave de la felicidad
kay kuchunata pimanpas saqemuy,dejacualquiera este cuchillo
manan hayk´aqpas yacharanichu wak runa kusichiwananta,nunca pensé que otra persona podría hacerme tan feliz
warmikunaqa kukankuta huk llikllachapin apanku,las mujeres llevan su coca atado en una mantita
